,,,,,Argentine ant Mortality,,,Monomorium Mortality,,,Individual Aggression,,,,,Maximum agression,,,,,Venom use,,,Individual Aggression Rel%,,,,,Maximum agression Rel%,,,,,Venom use Rel%,,,Combined Rel%,
Date,Container,Replicate No,Monomorium species,Argentine ant density,1 h,4 h,24 h,1 h,4 h,24 h,0,1,2,3,4,0,1,2,3,4,Nn,Gast,Stng,0,1,2,3,4,0,1,2,3,4,Nn,Gast,Stng,Aggressive Interactions,Maximum agression
10/09/2009,A,1,M. sydneyense,20,1,9,12,0,2,5,7,7,12,3,0,0,0,0,22,0,0,22,0,0.24,0.24,0.41,0.1,0,0,0,0,1,0,0,1,0,1.38,3
10/09/2009,B,2,M. sydneyense,20,5,10,14,0,0,1,4,4,5,9,0,0,0,0,16,0,0,12,2,0.18,0.18,0.23,0.41,0,0,0,0,1,0,0,0.86,0.14,1.86,3
9/09/2009,H,3,M. sydneyense,20,2,3,19,1,2,3,3,5,1,10,3,0,0,0,13,3,0,12,3,0.14,0.23,0.05,0.45,0.14,0,0,0,0.81,0.19,0,0.8,0.2,2.23,3.19
9/09/2009,D,4,M. sydneyense,20,2,4,18,0,0,7,0,4,2,15,4,0,0,0,16,4,0,13,3,0,0.16,0.08,0.6,0.16,0,0,0,0.8,0.2,0,0.81,0.19,2.76,3.2
3/09/2009,A,5,M. sydneyense,20,0,1,20,0,0,2,13,2,3,11,3,2,0,0,10,0,1,9,3,0.41,0.06,0.09,0.34,0.09,0.17,0,0,0.83,0,0.08,0.69,0.23,1.66,2.5
1/01/2009,B,6,M. sydneyense,20,0,8,17,0,0,8,9,5,5,6,0,0,0,0,20,1,9,10,1,0.36,0.2,0.2,0.24,0,0,0,0,0.95,0.05,0.45,0.5,0.05,1.32,3.05
10/09/2009,A,1,M. sydneyense,40,1,5,17,0,1,3,2,3,7,8,1,0,0,0,19,1,0,12,1,0.1,0.14,0.33,0.38,0.05,0,0,0,0.95,0.05,0,0.92,0.08,2.14,3.05
9/09/2009,I,2,M. sydneyense,40,3,7,34,1,3,8,5,7,6,3,0,0,0,0,20,2,0,20,2,0.24,0.33,0.29,0.14,0,0,0,0,0.91,0.09,0,0.91,0.09,1.33,3.09
9/09/2009,A,3,M. sydneyense,40,0,10,36,0,2,9,9,6,3,0,6,0,0,0,22,0,5,13,0,0.38,0.25,0.13,0,0.25,0,0,0,1,0,0.28,0.72,0,1.5,3
3/09/2009,B,4,M. sydneyense,40,0,3,37,0,0,9,2,7,2,8,3,5,2,0,5,0,1,4,2,0.09,0.32,0.09,0.36,0.14,0.42,0.17,0,0.42,0,0.14,0.57,0.29,2.14,1.42
12/10/2009,J,5,M. sydneyense,40,0,0,7,1,2,9,0,3,4,16,0,0,0,0,21,0,0,21,0,0,0.13,0.17,0.7,0,0,0,0,1,0,0,1,0,2.57,3
13/10/2009,P,6,M. sydneyense,40,0,2,28,1,4,12,1,5,6,9,0,0,0,0,19,2,0,19,2,0.05,0.24,0.29,0.43,0,0,0,0,0.9,0.1,0,0.9,0.1,2.1,3.1
